,날짜,종가,전일비,시가,고가,저가,거래량
1,2021.10.29,26650.0,0.0,26700.0,27150.0,26500.0,3627743.0
2,2021.10.28,26650.0,250.0,26400.0,27200.0,26300.0,6312791.0
3,2021.10.27,26900.0,2500.0,27400.0,27750.0,26000.0,20253787.0
4,2021.10.26,29400.0,100.0,29600.0,29650.0,29050.0,2632093.0
5,2021.10.25,29500.0,550.0,29000.0,29650.0,28700.0,2924186.0
9,2021.10.22,28950.0,450.0,29400.0,29500.0,28750.0,2609333.0
10,2021.10.21,29400.0,200.0,29400.0,29900.0,29250.0,2494422.0
11,2021.10.20,29200.0,800.0,30350.0,30350.0,29150.0,3508550.0
12,2021.10.19,30000.0,900.0,29250.0,30350.0,29250.0,4328663.0
13,2021.10.18,29100.0,900.0,30100.0,30150.0,28900.0,3695159.0
1,2021.10.15,30000.0,100.0,30400.0,31250.0,29900.0,5453731.0
2,2021.10.14,29900.0,600.0,30200.0,31050.0,29400.0,7597299.0
3,2021.10.13,29300.0,350.0,29000.0,29650.0,28850.0,3087269.0
4,2021.10.12,28950.0,100.0,28900.0,29950.0,28400.0,4887028.0
5,2021.10.08,29050.0,2450.0,32050.0,32050.0,28900.0,10014881.0
9,2021.10.07,31500.0,2450.0,29600.0,31550.0,29400.0,8407452.0
10,2021.10.06,29050.0,1250.0,30450.0,30950.0,28750.0,7671175.0
11,2021.10.05,30300.0,1500.0,30900.0,31100.0,29500.0,11217687.0
12,2021.10.01,31800.0,1900.0,32500.0,34350.0,31250.0,12590270.0
13,2021.09.30,33700.0,3100.0,36500.0,36700.0,33600.0,9109475.0
1,2021.09.29,36800.0,1350.0,37800.0,37900.0,36150.0,4575600.0
2,2021.09.28,38150.0,250.0,38850.0,38900.0,38050.0,1818195.0
3,2021.09.27,38400.0,350.0,38100.0,39100.0,37950.0,3089068.0
4,2021.09.24,38050.0,200.0,38050.0,38450.0,37750.0,2112017.0
5,2021.09.23,37850.0,700.0,38050.0,38250.0,37600.0,2175612.0
9,2021.09.17,38550.0,600.0,38000.0,38550.0,37500.0,5550458.0
10,2021.09.16,37950.0,450.0,38600.0,39300.0,37850.0,3085336.0
11,2021.09.15,38400.0,50.0,38200.0,38600.0,38100.0,2068975.0
12,2021.09.14,38350.0,100.0,38250.0,38800.0,38050.0,2566010.0
13,2021.09.13,38250.0,0.0,37900.0,38550.0,37850.0,1710658.0
1,2021.09.10,38250.0,250.0,37900.0,38650.0,37500.0,2817680.0
2,2021.09.09,38000.0,600.0,38800.0,39000.0,37700.0,3413300.0
3,2021.09.08,38600.0,150.0,38350.0,39550.0,38350.0,3665572.0
4,2021.09.07,38450.0,200.0,38350.0,39000.0,38350.0,2720697.0
5,2021.09.06,38650.0,650.0,38900.0,39800.0,38400.0,3891472.0
9,2021.09.03,39300.0,1000.0,41050.0,41300.0,39050.0,5958674.0
10,2021.09.02,40300.0,1700.0,43600.0,43850.0,40250.0,7238325.0
11,2021.09.01,42000.0,0.0,41850.0,42700.0,41400.0,3699042.0
12,2021.08.31,42000.0,1000.0,40950.0,42000.0,40200.0,4248085.0
13,2021.08.30,41000.0,50.0,41550.0,41600.0,40850.0,2277733.0
1,2021.08.27,40950.0,300.0,40950.0,41300.0,40400.0,3060729.0
2,2021.08.26,40650.0,1000.0,39950.0,41200.0,39900.0,4006516.0
3,2021.08.25,39650.0,350.0,38950.0,40450.0,38650.0,4132592.0
4,2021.08.24,39300.0,1950.0,37750.0,39850.0,37550.0,6276753.0
5,2021.08.23,37350.0,850.0,37750.0,38750.0,36700.0,5576653.0
9,2021.08.20,38200.0,200.0,38450.0,39050.0,37700.0,4360505.0
10,2021.08.19,38000.0,2850.0,40350.0,40400.0,37850.0,8440888.0
11,2021.08.18,40850.0,2300.0,38350.0,41250.0,38200.0,7791614.0
12,2021.08.17,38550.0,600.0,39150.0,39550.0,38450.0,3753754.0
13,2021.08.13,39150.0,1500.0,41250.0,41800.0,39100.0,5819721.0
1,2021.08.12,40650.0,500.0,39650.0,40650.0,38850.0,4552345.0
2,2021.08.11,40150.0,1350.0,38350.0,40500.0,38200.0,4417580.0
3,2021.08.10,38800.0,850.0,39650.0,39750.0,38650.0,2936459.0
4,2021.08.09,39650.0,300.0,40050.0,40600.0,39300.0,2863882.0
5,2021.08.06,39950.0,450.0,39550.0,41100.0,39500.0,4346848.0
9,2021.08.05,39500.0,0.0,39650.0,40150.0,38900.0,3402658.0
10,2021.08.04,39500.0,1900.0,37000.0,40000.0,36550.0,11844208.0
11,2021.08.03,37600.0,1050.0,38400.0,39100.0,37250.0,7344471.0
12,2021.08.02,38650.0,1350.0,39800.0,39800.0,38500.0,5647561.0
13,2021.07.30,40000.0,800.0,40700.0,40800.0,39200.0,7263308.0
1,2021.07.29,40800.0,1100.0,42150.0,42350.0,40800.0,3232947.0
2,2021.07.28,41900.0,450.0,40900.0,42400.0,40500.0,4391411.0
3,2021.07.27,41450.0,850.0,40650.0,42650.0,40200.0,6313340.0
4,2021.07.26,40600.0,1300.0,42300.0,42300.0,40600.0,3716746.0
5,2021.07.23,41900.0,0.0,41950.0,42150.0,41300.0,2820670.0
9,2021.07.22,41900.0,100.0,42000.0,42500.0,41050.0,4682578.0
10,2021.07.21,41800.0,550.0,42750.0,42950.0,40850.0,6261922.0
11,2021.07.20,42350.0,1550.0,42750.0,43300.0,42350.0,4905776.0
12,2021.07.19,43900.0,50.0,44000.0,44700.0,43800.0,3260462.0
13,2021.07.16,43950.0,850.0,43350.0,44600.0,42900.0,5285474.0
1,2021.07.15,43100.0,200.0,42900.0,43850.0,42300.0,5864670.0
2,2021.07.14,42900.0,600.0,43500.0,43600.0,42250.0,6571005.0
3,2021.07.13,43500.0,300.0,43950.0,44450.0,43500.0,3882630.0
4,2021.07.12,43800.0,850.0,44750.0,45050.0,43350.0,4799185.0
5,2021.07.09,44650.0,1000.0,44700.0,46300.0,44100.0,7471361.0
9,2021.07.08,45650.0,1550.0,47200.0,47200.0,45600.0,4818314.0
10,2021.07.07,47200.0,50.0,47600.0,47750.0,46200.0,4708074.0
11,2021.07.06,47150.0,950.0,48300.0,48850.0,46550.0,8142622.0
12,2021.07.05,48100.0,3300.0,45600.0,48200.0,45100.0,15236029.0
13,2021.07.02,44800.0,600.0,44450.0,45800.0,44000.0,6193831.0
1,2021.07.01,44200.0,300.0,44000.0,44750.0,43400.0,3213240.0
2,2021.06.30,43900.0,300.0,44700.0,45250.0,43900.0,4715748.0
3,2021.06.29,43600.0,700.0,45000.0,45150.0,43350.0,3943256.0
4,2021.06.28,44300.0,1250.0,43750.0,45550.0,43600.0,9976325.0
5,2021.06.25,43050.0,1450.0,42100.0,44150.0,42000.0,8404200.0
9,2021.06.24,41600.0,1100.0,42250.0,42450.0,40850.0,8198275.0
10,2021.06.23,42700.0,600.0,43350.0,43500.0,42400.0,5341069.0
11,2021.06.22,43300.0,100.0,43700.0,44100.0,42800.0,4896424.0
12,2021.06.21,43400.0,1000.0,43800.0,44250.0,43350.0,4093844.0
13,2021.06.18,44400.0,250.0,44700.0,45100.0,43850.0,4103740.0
1,2021.06.17,44650.0,400.0,45250.0,45700.0,44550.0,4103000.0
2,2021.06.16,45050.0,500.0,44450.0,46350.0,43950.0,7245350.0
3,2021.06.15,44550.0,1700.0,43350.0,44800.0,43350.0,11240804.0
4,2021.06.14,46250.0,1400.0,45700.0,46850.0,45000.0,9209422.0
5,2021.06.11,44850.0,950.0,43900.0,45500.0,43100.0,7349890.0
9,2021.06.10,43900.0,150.0,43450.0,44350.0,42000.0,9174810.0
10,2021.06.09,43750.0,1300.0,45950.0,46500.0,43450.0,9574504.0
11,2021.06.08,45050.0,2700.0,41750.0,46600.0,40400.0,28909021.0
12,2021.06.07,42350.0,3050.0,45800.0,46350.0,42250.0,20446778.0
13,2021.06.04,45400.0,1950.0,47100.0,47100.0,45300.0,10709484.0
1,2021.06.03,47350.0,100.0,47250.0,47700.0,46200.0,6976878.0
2,2021.06.02,47250.0,400.0,48250.0,49300.0,47250.0,10235397.0
3,2021.06.01,47650.0,250.0,47100.0,47900.0,46050.0,10632345.0
4,2021.05.31,47900.0,1750.0,49850.0,50200.0,47500.0,11407511.0
5,2021.05.28,49650.0,950.0,50100.0,51100.0,49100.0,10028270.0
9,2021.05.27,50600.0,1200.0,49100.0,50600.0,47550.0,33509359.0
10,2021.05.26,49400.0,50.0,49500.0,50200.0,48900.0,9093070.0
11,2021.05.25,49350.0,1600.0,48650.0,49650.0,48450.0,12076390.0
12,2021.05.24,47750.0,1650.0,46500.0,48500.0,46150.0,12340850.0
13,2021.05.21,46100.0,50.0,46400.0,47450.0,45350.0,11961176.0
1,2021.05.20,46050.0,3200.0,43050.0,46150.0,42200.0,14847741.0
2,2021.05.18,42850.0,0.0,42200.0,43350.0,41450.0,10179023.0
3,2021.05.17,42850.0,850.0,45300.0,46500.0,41500.0,19700199.0
4,2021.05.14,43700.0,750.0,45900.0,47000.0,42700.0,20548921.0
5,2021.05.13,44450.0,3150.0,47800.0,50000.0,43200.0,28785777.0
9,2021.05.12,47600.0,3200.0,44150.0,48550.0,44100.0,20954229.0
10,2021.05.11,44400.0,200.0,43000.0,45000.0,42950.0,9971250.0
11,2021.05.10,44200.0,1600.0,42900.0,44750.0,41250.0,17701914.0
12,2021.05.07,42600.0,2700.0,40800.0,43450.0,39950.0,20814694.0
13,2021.05.06,39900.0,4250.0,36250.0,39900.0,36100.0,16629073.0
1,2021.05.04,35650.0,1300.0,36000.0,36550.0,34300.0,19167271.0
2,2021.05.03,36950.0,2250.0,39850.0,39900.0,36300.0,16483961.0
3,2021.04.30,39200.0,750.0,40100.0,40600.0,38850.0,11054067.0
4,2021.04.29,39950.0,650.0,39600.0,40500.0,38200.0,12154736.0
5,2021.04.28,39300.0,2500.0,36800.0,39950.0,36800.0,19976442.0
9,2021.04.27,36800.0,650.0,37000.0,37600.0,35800.0,11256804.0
10,2021.04.26,36150.0,3200.0,34350.0,36700.0,33600.0,21050328.0
11,2021.04.23,32950.0,800.0,34000.0,34350.0,32350.0,9067510.0
12,2021.04.22,33750.0,700.0,33400.0,34500.0,33300.0,9131672.0
13,2021.04.21,33050.0,500.0,33250.0,33550.0,32800.0,4505509.0
1,2021.04.20,33550.0,150.0,33550.0,34200.0,32750.0,8385794.0
2,2021.04.19,33400.0,2250.0,31750.0,33650.0,31550.0,13334501.0
3,2021.04.16,31150.0,1300.0,30200.0,31800.0,30100.0,10454456.0
4,2021.04.15,29850.0,250.0,30100.0,30350.0,29650.0,3680934.0
5,2021.04.14,30100.0,200.0,29800.0,30500.0,29400.0,4747564.0
9,2021.04.13,29900.0,0.0,29150.0,30100.0,28900.0,7991525.0
10,2021.04.12,29900.0,50.0,30250.0,30500.0,29550.0,4633875.0
11,2021.04.09,29850.0,650.0,30500.0,30850.0,29800.0,4893306.0
12,2021.04.08,30500.0,0.0,30900.0,31200.0,30200.0,7349524.0
13,2021.04.07,30500.0,1350.0,29250.0,30500.0,28850.0,10760811.0
1,2021.04.06,29150.0,400.0,29150.0,29800.0,28750.0,6441442.0
2,2021.04.05,28750.0,700.0,28050.0,29000.0,27400.0,9383774.0
3,2021.04.02,28050.0,250.0,29150.0,29250.0,28050.0,8635764.0
4,2021.04.01,27800.0,1200.0,28400.0,28500.0,26550.0,18982890.0
5,2021.03.31,29000.0,900.0,28950.0,29900.0,28600.0,15096798.0
9,2021.03.30,28100.0,2850.0,30000.0,30200.0,28000.0,26785243.0
10,2021.03.29,30950.0,3200.0,32600.0,33550.0,29700.0,41757002.0
11,2021.03.26,34150.0,4700.0,29600.0,35700.0,29600.0,54130619.0
12,2021.03.25,29450.0,300.0,29850.0,30000.0,28150.0,12848857.0
13,2021.03.24,29150.0,700.0,27950.0,29750.0,27500.0,19852644.0
1,2021.03.23,28450.0,1900.0,27350.0,29600.0,27000.0,26263232.0
2,2021.03.22,26550.0,2100.0,24800.0,27000.0,24550.0,17226746.0
3,2021.03.19,24450.0,850.0,23400.0,24450.0,23200.0,13534303.0
4,2021.03.18,23600.0,1200.0,22600.0,23700.0,22500.0,9731574.0
5,2021.03.17,22400.0,100.0,22500.0,22800.0,21950.0,5826891.0
9,2021.03.16,22300.0,850.0,21550.0,22600.0,21450.0,8509531.0
10,2021.03.15,21450.0,150.0,21600.0,21900.0,21200.0,5058110.0
11,2021.03.12,21600.0,400.0,21300.0,22450.0,20600.0,11735479.0
12,2021.03.11,21200.0,700.0,21750.0,22250.0,20850.0,10807890.0
13,2021.03.10,21900.0,1750.0,20750.0,21900.0,20400.0,15519474.0
1,2021.03.09,20150.0,1950.0,22000.0,24050.0,19950.0,32684736.0
2,2021.03.08,22100.0,150.0,22200.0,22700.0,21750.0,9040955.0
3,2021.03.05,21950.0,1650.0,20000.0,22450.0,19750.0,22893847.0
4,2021.03.04,20300.0,100.0,20150.0,20850.0,19650.0,11174464.0
5,2021.03.03,20400.0,1600.0,18700.0,20750.0,18700.0,20737131.0
9,2021.03.02,18800.0,200.0,19750.0,19800.0,18650.0,11059044.0
10,2021.02.26,19000.0,600.0,17900.0,19000.0,17850.0,17928022.0
11,2021.02.25,18400.0,1400.0,17500.0,18450.0,17200.0,15246668.0
12,2021.02.24,17000.0,0.0,17050.0,17900.0,16850.0,12631894.0
13,2021.02.23,17000.0,300.0,17100.0,17450.0,16700.0,8596743.0
1,2021.02.22,17300.0,900.0,16600.0,17650.0,16250.0,19417433.0
2,2021.02.19,16400.0,600.0,15700.0,16500.0,15550.0,11848992.0
3,2021.02.18,15800.0,0.0,15800.0,16150.0,15450.0,6250429.0
4,2021.02.17,15800.0,700.0,15300.0,16000.0,15050.0,11989053.0
5,2021.02.16,15100.0,250.0,15450.0,15500.0,15000.0,5382177.0
9,2021.02.15,15350.0,850.0,14850.0,15650.0,14400.0,14405862.0
10,2021.02.10,14500.0,150.0,15400.0,15450.0,14300.0,11525634.0
11,2021.02.09,14350.0,50.0,14500.0,14600.0,14100.0,3449836.0
12,2021.02.08,14400.0,350.0,14150.0,14450.0,13950.0,4166903.0
13,2021.02.05,14050.0,350.0,13800.0,14300.0,13650.0,3290911.0
1,2021.02.04,13700.0,250.0,14050.0,14050.0,13600.0,2167607.0
2,2021.02.03,13950.0,100.0,14150.0,14200.0,13800.0,2389105.0
3,2021.02.02,14050.0,50.0,14200.0,14250.0,13850.0,2478159.0
4,2021.02.01,14000.0,350.0,13350.0,14250.0,13150.0,4390083.0
5,2021.01.29,13650.0,400.0,14200.0,14250.0,13250.0,5983385.0
9,2021.01.28,14050.0,50.0,14600.0,15550.0,13900.0,14998872.0
10,2021.01.27,14100.0,50.0,13950.0,14200.0,13600.0,5073285.0
11,2021.01.26,14050.0,400.0,14300.0,14500.0,13800.0,6461281.0
12,2021.01.25,14450.0,250.0,14750.0,14800.0,14300.0,4655517.0
13,2021.01.22,14700.0,250.0,15050.0,15100.0,14600.0,3111058.0
1,2021.01.21,14950.0,250.0,14950.0,15300.0,14800.0,5213430.0
2,2021.01.20,14700.0,250.0,15250.0,15300.0,14600.0,3906953.0
3,2021.01.19,14950.0,900.0,14250.0,15000.0,14200.0,6550934.0
4,2021.01.18,14050.0,750.0,14550.0,14650.0,13800.0,6546762.0
5,2021.01.15,14800.0,400.0,15350.0,15450.0,14700.0,3673211.0
9,2021.01.14,15200.0,150.0,15050.0,15600.0,15000.0,5199879.0
10,2021.01.13,15050.0,200.0,14900.0,15200.0,14700.0,5077946.0
11,2021.01.12,14850.0,350.0,14900.0,15600.0,14400.0,8445013.0
12,2021.01.11,15200.0,550.0,15650.0,15700.0,14850.0,10353133.0
13,2021.01.08,15750.0,400.0,16350.0,16350.0,15250.0,8834942.0
1,2021.01.07,16150.0,300.0,16150.0,16750.0,15850.0,8861417.0
2,2021.01.06,15850.0,650.0,16500.0,16800.0,15800.0,9328438.0
3,2021.01.05,16500.0,50.0,16300.0,17000.0,15950.0,21309175.0
4,2021.01.04,16550.0,2600.0,14900.0,16750.0,14250.0,38614102.0
5,2020.12.30,13950.0,200.0,13700.0,14100.0,13500.0,6492773.0
9,2020.12.29,13750.0,850.0,13350.0,14000.0,13300.0,9298354.0
10,2020.12.28,12900.0,50.0,12750.0,13300.0,12500.0,7070951.0
11,2020.12.24,12850.0,200.0,13050.0,13300.0,12700.0,4262841.0
12,2020.12.23,13050.0,50.0,12900.0,13300.0,12800.0,4169006.0
13,2020.12.22,13000.0,600.0,13550.0,13600.0,12900.0,5611117.0
1,2020.12.21,13600.0,200.0,13800.0,13900.0,13250.0,5338614.0
2,2020.12.18,13800.0,550.0,14400.0,14950.0,13750.0,14245577.0
3,2020.12.17,14350.0,800.0,13700.0,14600.0,13600.0,18063126.0
4,2020.12.16,13550.0,50.0,13800.0,13800.0,13350.0,3405111.0
5,2020.12.15,13600.0,300.0,13150.0,13850.0,12900.0,7324107.0
9,2020.12.14,13300.0,500.0,13800.0,13800.0,13200.0,4659763.0
10,2020.12.11,13800.0,50.0,14000.0,14200.0,13500.0,6464434.0
11,2020.12.10,13850.0,950.0,12950.0,14100.0,12700.0,16972906.0
12,2020.12.09,12900.0,150.0,12950.0,13150.0,12500.0,4291905.0
13,2020.12.08,12750.0,450.0,12300.0,13150.0,12050.0,8270355.0
1,2020.12.07,12300.0,450.0,12650.0,12700.0,12200.0,5117758.0
2,2020.12.04,12750.0,200.0,12900.0,12900.0,12350.0,7301150.0
3,2020.12.03,12950.0,350.0,13200.0,13200.0,12900.0,4416506.0
4,2020.12.02,13300.0,100.0,13500.0,13500.0,13150.0,3537750.0
5,2020.12.01,13400.0,50.0,13300.0,13550.0,13050.0,4802583.0
9,2020.11.30,13350.0,350.0,13450.0,13600.0,13200.0,7136291.0
10,2020.11.27,13000.0,100.0,12900.0,13000.0,12700.0,3041683.0
11,2020.11.26,12900.0,100.0,12800.0,13100.0,12600.0,3852726.0
12,2020.11.25,12800.0,250.0,13200.0,13250.0,12600.0,6904769.0
13,2020.11.24,13050.0,350.0,13450.0,13500.0,12850.0,6019687.0
1,2020.11.23,13400.0,650.0,13150.0,13700.0,13000.0,11988135.0
2,2020.11.20,12750.0,200.0,12150.0,12950.0,12050.0,10401575.0
3,2020.11.19,12550.0,600.0,13150.0,13300.0,12300.0,11909306.0
4,2020.11.18,13150.0,200.0,12650.0,13450.0,12450.0,17437998.0
5,2020.11.17,12950.0,1150.0,13950.0,14450.0,12650.0,22165115.0
9,2020.11.16,14100.0,300.0,13750.0,14600.0,13650.0,13869342.0
10,2020.11.13,14400.0,50.0,14400.0,15000.0,13600.0,21648978.0
11,2020.11.12,14350.0,1350.0,13200.0,15250.0,13150.0,45128507.0
12,2020.11.11,13000.0,600.0,12150.0,13200.0,11800.0,17900430.0
13,2020.11.10,12400.0,500.0,12950.0,13000.0,11900.0,16861581.0
1,2020.11.09,11900.0,1650.0,10550.0,12350.0,10500.0,28455967.0
2,2020.11.06,10250.0,100.0,10300.0,10500.0,9870.0,9120073.0
3,2020.11.05,10150.0,710.0,9500.0,10350.0,9500.0,16941269.0
4,2020.11.04,9440.0,140.0,9430.0,9920.0,9270.0,12840413.0
5,2020.11.03,9300.0,30.0,9380.0,9430.0,9200.0,5673674.0
9,2020.11.02,9270.0,300.0,9000.0,9390.0,8950.0,6189233.0
10,2020.10.30,8970.0,520.0,9450.0,9480.0,8840.0,12295144.0
11,2020.10.29,9490.0,40.0,9270.0,9520.0,9200.0,8544020.0
12,2020.10.28,9450.0,590.0,8890.0,9530.0,8760.0,15306046.0
13,2020.10.27,8860.0,40.0,8880.0,9080.0,8460.0,11026074.0
1,2020.10.26,8820.0,750.0,8190.0,9100.0,8080.0,23200669.0
2,2020.10.23,8070.0,430.0,7620.0,8210.0,7530.0,12431787.0
3,2020.10.22,7640.0,40.0,7690.0,7800.0,7360.0,6156065.0
4,2020.10.21,7600.0,550.0,7200.0,7600.0,7110.0,8678052.0
5,2020.10.20,7050.0,50.0,6950.0,7070.0,6840.0,2451745.0
9,2020.10.19,7000.0,90.0,7180.0,7250.0,6980.0,1919614.0
10,2020.10.16,7090.0,180.0,7200.0,7300.0,6990.0,3141702.0
11,2020.10.15,7270.0,80.0,7130.0,7360.0,7040.0,3157727.0
12,2020.10.14,7190.0,150.0,7360.0,7380.0,7190.0,2134084.0
13,2020.10.13,7340.0,0.0,7400.0,7400.0,7170.0,2704127.0
1,2020.10.12,7340.0,70.0,7410.0,7450.0,7290.0,2047170.0
2,2020.10.08,7410.0,30.0,7500.0,7560.0,7390.0,2469736.0
3,2020.10.07,7440.0,50.0,7310.0,7470.0,7260.0,2176410.0
4,2020.10.06,7390.0,10.0,7390.0,7470.0,7300.0,1960509.0
5,2020.10.05,7380.0,170.0,7490.0,7490.0,7300.0,3018599.0
9,2020.09.29,7210.0,70.0,7410.0,7460.0,7160.0,2684904.0
10,2020.09.28,7280.0,420.0,7030.0,7280.0,6950.0,3172491.0
11,2020.09.25,6860.0,0.0,6910.0,6980.0,6750.0,2123235.0
12,2020.09.24,6860.0,270.0,6930.0,7080.0,6770.0,4255171.0
13,2020.09.23,7130.0,30.0,7230.0,7260.0,6840.0,3797444.0
1,2020.09.22,7100.0,310.0,7330.0,7400.0,7000.0,5461917.0
2,2020.09.21,7410.0,150.0,7320.0,7510.0,7270.0,3904128.0
3,2020.09.18,7260.0,40.0,7300.0,7390.0,7200.0,3408752.0
4,2020.09.17,7300.0,150.0,7430.0,7480.0,7230.0,4280342.0
5,2020.09.16,7450.0,50.0,7400.0,7650.0,7320.0,5925687.0
9,2020.09.15,7400.0,170.0,7270.0,7550.0,7070.0,6961274.0
10,2020.09.14,7230.0,30.0,7400.0,7680.0,7150.0,11339747.0
11,2020.09.11,7260.0,180.0,7200.0,7380.0,6910.0,12116562.0
12,2020.09.10,7080.0,590.0,6520.0,7380.0,6450.0,24811048.0
13,2020.09.09,6490.0,270.0,6070.0,6500.0,6070.0,5515664.0
1,2020.09.08,6220.0,80.0,6390.0,6390.0,6130.0,2582681.0
2,2020.09.07,6300.0,60.0,6470.0,6490.0,6260.0,3189649.0
3,2020.09.04,6360.0,30.0,6050.0,6380.0,6000.0,4432769.0
4,2020.09.03,6330.0,160.0,6270.0,6450.0,6250.0,4159062.0
5,2020.09.02,6170.0,300.0,5970.0,6170.0,5840.0,3599181.0
9,2020.09.01,5870.0,110.0,5760.0,5920.0,5760.0,2129529.0
10,2020.08.31,5760.0,210.0,5650.0,5960.0,5630.0,4685573.0
11,2020.08.28,5550.0,210.0,5340.0,5670.0,5340.0,4475608.0
12,2020.08.27,5340.0,240.0,5490.0,5520.0,5320.0,4604481.0
13,2020.08.26,5580.0,120.0,5700.0,5760.0,5480.0,3893766.0
1,2020.08.25,5700.0,150.0,5670.0,5790.0,5570.0,3784098.0
2,2020.08.24,5550.0,50.0,5590.0,5650.0,5400.0,2784515.0
3,2020.08.21,5600.0,40.0,5630.0,5740.0,5340.0,4315059.0
4,2020.08.20,5560.0,300.0,5800.0,5860.0,5490.0,5282570.0
5,2020.08.19,5860.0,170.0,5750.0,5940.0,5680.0,4061936.0
9,2020.08.18,5690.0,720.0,6300.0,6300.0,5670.0,9674274.0
10,2020.08.14,6410.0,240.0,6660.0,6670.0,6340.0,3867272.0
11,2020.08.13,6650.0,270.0,6630.0,6800.0,6390.0,5754698.0
12,2020.08.12,6380.0,420.0,6830.0,6910.0,6220.0,7911865.0
13,2020.08.11,6800.0,100.0,6760.0,6840.0,6470.0,4014090.0
1,2020.08.10,6700.0,100.0,6910.0,6950.0,6650.0,6467108.0
2,2020.08.07,6600.0,170.0,6500.0,6670.0,6400.0,4507370.0
3,2020.08.06,6430.0,380.0,6050.0,6760.0,6050.0,12166054.0
4,2020.08.05,6050.0,20.0,6000.0,6060.0,5930.0,2255987.0
5,2020.08.04,6030.0,10.0,6010.0,6070.0,5900.0,2401602.0
9,2020.08.03,6040.0,160.0,5920.0,6070.0,5870.0,3318471.0
10,2020.07.31,5880.0,30.0,5900.0,6080.0,5750.0,5181841.0
11,2020.07.30,5850.0,360.0,5540.0,5850.0,5520.0,6111882.0
12,2020.07.29,5490.0,320.0,5270.0,5540.0,5260.0,5385525.0
13,2020.07.28,5170.0,30.0,5220.0,5290.0,5160.0,1407530.0
1,2020.07.27,5200.0,30.0,5180.0,5250.0,5170.0,1417325.0
2,2020.07.24,5170.0,30.0,5130.0,5280.0,5120.0,1568759.0
3,2020.07.23,5200.0,10.0,5130.0,5230.0,5100.0,1615306.0
4,2020.07.22,5190.0,30.0,5250.0,5260.0,5100.0,1971025.0
5,2020.07.21,5220.0,225.0,5010.0,5240.0,5000.0,4054260.0
9,2020.07.20,4995.0,25.0,5070.0,5070.0,4905.0,1445867.0
10,2020.07.17,5020.0,20.0,5000.0,5050.0,4955.0,1258451.0
11,2020.07.16,5000.0,5.0,5020.0,5080.0,4980.0,1576233.0
12,2020.07.15,4995.0,25.0,5020.0,5080.0,4935.0,2067856.0
13,2020.07.14,4970.0,155.0,4790.0,5020.0,4740.0,2511761.0
1,2020.07.13,4815.0,100.0,4715.0,4870.0,4715.0,1435549.0
2,2020.07.10,4715.0,125.0,4770.0,4825.0,4670.0,2115151.0
3,2020.07.09,4840.0,80.0,4915.0,4915.0,4835.0,1238219.0
4,2020.07.08,4920.0,20.0,4905.0,4980.0,4835.0,1561482.0
5,2020.07.07,4940.0,30.0,4970.0,5080.0,4875.0,2188130.0
9,2020.07.06,4970.0,45.0,4935.0,4980.0,4865.0,1606825.0
10,2020.07.03,4925.0,165.0,4760.0,4950.0,4760.0,2515313.0
11,2020.07.02,4760.0,110.0,4690.0,4830.0,4675.0,2123961.0
12,2020.07.01,4650.0,35.0,4750.0,4770.0,4625.0,1610729.0
13,2020.06.30,4685.0,35.0,4800.0,4800.0,4655.0,1962503.0
1,2020.06.29,4720.0,60.0,4620.0,4830.0,4510.0,3651108.0
2,2020.06.26,4660.0,340.0,4400.0,4665.0,4325.0,3049102.0
3,2020.06.25,4320.0,210.0,4430.0,4450.0,4280.0,3123364.0
4,2020.06.24,4530.0,80.0,4505.0,4600.0,4475.0,2216186.0
5,2020.06.23,4450.0,30.0,4530.0,4660.0,4420.0,3420436.0
9,2020.06.22,4480.0,175.0,4640.0,4640.0,4450.0,3162028.0
10,2020.06.19,4655.0,15.0,4770.0,4785.0,4530.0,3182172.0
11,2020.06.18,4670.0,110.0,4780.0,4790.0,4630.0,3073664.0
12,2020.06.17,4780.0,125.0,4790.0,4880.0,4675.0,3824085.0
13,2020.06.16,4905.0,155.0,4900.0,5050.0,4830.0,4470077.0
1,2020.06.15,4750.0,410.0,5090.0,5190.0,4750.0,6954895.0
2,2020.06.12,5160.0,410.0,5040.0,5350.0,5040.0,8613229.0
3,2020.06.11,5570.0,170.0,5350.0,5680.0,5280.0,13085521.0
4,2020.06.10,5400.0,120.0,5280.0,5450.0,5230.0,4593961.0
