,날짜,언론사,기사제목,링크
0,,,,
0, 2021.10.27 17:58,매일경제,CB 6000억 주식전환에…HMM 8% 급락,https://finance.naver.com/item/news_read.naver?article_id=0004870641&office_id=009&code=011200&page=1&sm=
1, 2021.10.27 17:48,파이낸셜뉴스,CB 주식전환에…급락하는 HMM,https://finance.naver.com/item/news_read.naver?article_id=0004730025&office_id=014&code=011200&page=1&sm=
2, 2021.10.27 16:31,파이낸셜뉴스,"HMM, 주가 급락...해양진흥공사 전환사채 주식 전환 여파",https://finance.naver.com/item/news_read.naver?article_id=0004729976&office_id=014&code=011200&page=1&sm=
3, 2021.10.27 09:52,조선비즈,"[특징주] HMM, 해양진흥공사 CB 주식전환 소식에 9%대 급락",https://finance.naver.com/item/news_read.naver?article_id=0000769475&office_id=366&code=011200&page=1&sm=
4, 2021.10.27 09:49,한국경제,"HMM, 해진공 CB 6000억 주식전환에 9%대 급락",https://finance.naver.com/item/news_read.naver?article_id=0004621095&office_id=015&code=011200&page=1&sm=
5, 2021.10.27 09:39,아시아경제,"[특징주] HMM, 전환사채 주식전환 여파 '급락'",https://finance.naver.com/item/news_read.naver?article_id=0004989542&office_id=277&code=011200&page=1&sm=
6, 2021.10.27 09:33,헤럴드경제,"[특징주] HMM, 해양진흥공사 전환사채 주식 전환에 급락세",https://finance.naver.com/item/news_read.naver?article_id=0001904509&office_id=016&code=011200&page=1&sm=
7, 2021.10.27 09:29,이데일리,"[특징주]HMM, 6000억 규모 CB 전환에 11%대 급락",https://finance.naver.com/item/news_read.naver?article_id=0005070943&office_id=018&code=011200&page=1&sm=
8, 2021.10.27 09:09,서울경제,"[특징주] HMM, CB 6,000억 주식 전환에 약세",https://finance.naver.com/item/news_read.naver?article_id=0003977903&office_id=011&code=011200&page=1&sm=
9, 2021.10.27 16:34,이데일리,"문성혁 해수장관, HMM 선박종합상황실 찾아 ""안전 운항"" 당부",https://finance.naver.com/item/news_read.naver?article_id=0005071413&office_id=018&code=011200&page=1&sm=
10, 2021.10.26 18:06,서울경제,"해진공 ""CB 6,000억 주식전환""···HMM 물량확대 리스크 '현실...",https://finance.naver.com/item/news_read.naver?article_id=0003977788&office_id=011&code=011200&page=1&sm=
11, 2021.10.26 16:29,서울경제,"해진공, 영구전환사채 모두 주식 전환···HMM 2대 주주로",https://finance.naver.com/item/news_read.naver?article_id=0003977724&office_id=011&code=011200&page=1&sm=
12, 2021.10.26 17:05,조선비즈,"해양진흥공사, HMM 2대 주주 된다… 전환사채 주식 전환키로",https://finance.naver.com/item/news_read.naver?article_id=0000769382&office_id=366&code=011200&page=1&sm=
13, 2021.10.26 10:21,조선비즈,"HMM, 냉장·냉동 컨테이너에 사물인터넷 설치… 내후년 도입",https://finance.naver.com/item/news_read.naver?article_id=0000769172&office_id=366&code=011200&page=1&sm=
14, 2021.10.26 10:08,이데일리,"HMM, 냉장·냉동 컨테이너에 'IoT' 기술 도입",https://finance.naver.com/item/news_read.naver?article_id=0005070082&office_id=018&code=011200&page=1&sm=
15, 2021.10.25 15:02,이코노미스트,"HMM, CB 조기상환 해도 운임 하락 악재 남아…주가 반등 ‘글쎄’",https://finance.naver.com/item/news_read.naver?article_id=0000017615&office_id=243&code=011200&page=1&sm=
16, 2021.10.25 12:37,헤럴드경제,"HMM, CB 중도상환 결정...주가는 ‘시큰둥’",https://finance.naver.com/item/news_read.naver?article_id=0001903494&office_id=016&code=011200&page=1&sm=
17, 2021.10.25 10:24,헤럴드경제,HMM CB 중도상환 결정에도…주가는 업황 부진 우려에 시큰둥,https://finance.naver.com/item/news_read.naver?article_id=0001903331&office_id=016&code=011200&page=1&sm=
18, 2021.10.25 08:39,조선비즈,"신영증권 “HMM 영구채 조기 상환, 주주가치 제고 첫발”",https://finance.naver.com/item/news_read.naver?article_id=0000768882&office_id=366&code=011200&page=1&sm=
19, 2021.10.25 08:36,한국경제,"“HMM, CB 중도상환 나섰지만…운임하락 예상돼 목표가↓”-신영",https://finance.naver.com/item/news_read.naver?article_id=0004620008&office_id=015&code=011200&page=1&sm=
20, 2021.10.25 08:30,아시아경제,"[클릭 e종목]""HMM, 주주가치 제고 첫 발…운임은 하락 전망""",https://finance.naver.com/item/news_read.naver?article_id=0004988109&office_id=277&code=011200&page=1&sm=
21, 2021.10.22 17:13,조선비즈,"HMM, 영구 전환사채 6000억원 조기상환 결정",https://finance.naver.com/item/news_read.naver?article_id=0000768583&office_id=366&code=011200&page=1&sm=
22, 2021.10.22 16:58,아시아경제,"HMM, 영구 전환사채 6000억원 조기상환",https://finance.naver.com/item/news_read.naver?article_id=0004987542&office_id=277&code=011200&page=1&sm=
23, 2021.10.22 14:02,헤럴드경제,"'흠슬라 뛰어넘은 두슬라'…해외 수주·기관 매수에 두산중공업, HMM ...",https://finance.naver.com/item/news_read.naver?article_id=0001902762&office_id=016&code=011200&page=1&sm=
24, 2021.10.22 11:44,헤럴드경제,"‘흠슬라’ 뛰어넘은 ‘두슬라’...두산重, HMM 시총 추월",https://finance.naver.com/item/news_read.naver?article_id=0001902711&office_id=016&code=011200&page=1&sm=
25, 2021.10.21 03:00,머니투데이,김범수가 HMM을 산다면 [우보세],https://finance.naver.com/item/news_read.naver?article_id=0004659395&office_id=008&code=011200&page=1&sm=
0, 2021.10.20 17:11,서울경제,"HMM, 수출기업 돕기 위해 극동∼남미 동안 신규항로 개설",https://finance.naver.com/item/news_read.naver?article_id=0003975525&office_id=011&code=011200&page=2&sm=
1, 2021.10.20 14:08,이데일리,HMM 대주주 산은 “해운담합 과징금 내도 위기 없어”,https://finance.naver.com/item/news_read.naver?article_id=0005064730&office_id=018&code=011200&page=2&sm=
2, 2021.10.20 11:36,비즈니스워치,"HMM 주주들 뿔난 이유…""산은, 제 이익만 챙긴다""",https://finance.naver.com/item/news_read.naver?article_id=0000004323&office_id=648&code=011200&page=2&sm=
3, 2021.10.20 10:20,조선비즈,"HMM, 한국발 극동~남미동안 신규항로 개설… 12월 7일 첫 출항",https://finance.naver.com/item/news_read.naver?article_id=0000767777&office_id=366&code=011200&page=2&sm=
4, 2021.10.20 10:19,이데일리,"HMM, 극동~남미 동안 항로 신규 개설…12월 첫 출항",https://finance.naver.com/item/news_read.naver?article_id=0005064465&office_id=018&code=011200&page=2&sm=
5, 2021.10.19 16:36,매일경제,"중기부, 중기 수출 지원한 HMM에 감사패",https://finance.naver.com/item/news_read.naver?article_id=0004866738&office_id=009&code=011200&page=2&sm=
6, 2021.10.19 11:20,헤럴드경제,"‘물류대란’에도 1600개 中企에 숨통...중기부, HMM에 감사패",https://finance.naver.com/item/news_read.naver?article_id=0001900934&office_id=016&code=011200&page=2&sm=
7, 2021.10.19 06:00,아시아경제,"중기부, 中企 물류 어려움 해소 기여한 HMM에 감사",https://finance.naver.com/item/news_read.naver?article_id=0004985109&office_id=277&code=011200&page=2&sm=
